Model,Accuracy,Macro F1,SN Precision,SN Recall,SN F1,ROC AUC,PR AP,Cohen's Kappa
Decision Tree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KNN,0.851021,0.844223,0.796512,0.827437,0.81168,0.93,0.87,0.688519
Polynomial LR (C=100),0.825578,0.816337,0.775475,0.774806,0.77514,0.91,0.84,0.632674
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Soft Voting,0.947104,0.944258,0.934085,0.929249,0.931661,0.99,0.99,0.888516
