#CRTS ID,RA (J2000),Dec (J2000),UT Date,Mag,CSS images,SDSS,Others,Followed,Last,LC,FC,Classification
CSS130522:151500+484801,228.7481,48.80034,20130522.31,18.99,1305221490554110035,yes,11003,no,2016-07-12,11003,yes,HPM 2MASS_J15150
CSS150128:151522+170037,228.84171,17.01031,20150128.48,18.72,1501281180794101811,yes,10181,no,2016-09-05,10181,yes,"SN (spec) SDSS mag 19,7"
CSS160205:151531+191121,228.87834,19.18911,20160205.52,19.82,1602051180794141598,yes,14159,no,2016-09-05,14159,yes,"HPM SDSS mag 19,7"
CSS160712:151647+283743,229.19706,28.62869,20160712.25,18.03,1607121290724106294,yes,10629,no,2016-07-12,10629,yes,SN (MASTER) mag 21
CSS120616:151649+365022,229.20517,36.83956,20120616.31,18.86,1206161380664102006,yes,10200,yes,2016-07-11,10200,yes,"Blazar mag 19,9"
CSS150428:151714-071014,229.30862,-7.17048,20150428.38,18.72,1504280070814128871,no,12887,no,2016-07-01,12887,yes,Blazar mag 21
CSS150326:151729-013510,229.37135,-1.58605,20150326.49,18.88,1503260010824122272,yes,12227,no,2016-07-01,12227,yes,"SN SDSS mag 21,3"
CSS160205:151816+241901,229.56805,24.31702,20160205.52,20.12,1602051230764130518,yes,13051,no,2016-07-11,13051,yes,"SN SDSS mag 21,6"
CSS100516:151833+311931,229.63759,31.3253,20100516.4,19.58,1005161320714104287,yes,10428,yes,2016-07-15,10428,yes,"SN SDSS mag 16,7 gal z=0,11"
CSS140409:151836+394025,229.64797,39.67348,20140409.42,19.58,1404091400644102987,yes,10298,no,2016-07-12,10298,yes,"AGN SDSS mag 20,5"
CSS120330:151836-054803,229.6502,-5.80088,20120330.43,16.47,1203300070824160651,no,16065,no,2016-09-03,16065,yes,"CV mag 19,9"
CSS120610:151843+155646,229.68123,15.94618,20120610.3,18.9,1206101150804131553,yes,13155,no,2016-09-05,13155,yes,"AGN SDSS mag 19,9"
