Dec (J2000),SDSS,count,mag_info,mag_max,mag_mean,mag_median,mag_min,mag_std,magerr_max,magerr_mean,magerr_std,mjd_std,baseline,mag_baseline
44.16821,1,285,18.99,21.1823,19.59752526315789,19.527,18.7508,0.4441571600348549,0.551874642354795,0.2353782575468535,0.068417802175003,765.2149160072287,2855.1450771292875,2.4315
21.02971,1,18,16.67,21.0585,19.51013888888889,20.22605,16.6727,1.5804290866123858,0.511079005617784,0.2837571269491326,0.1333239132602755,611.4164878685541,2319.6898049074007,4.3858
6.96459,1,325,17.14,19.337,18.386909538461538,18.3832,17.6938,0.1972626523538479,0.390554997825443,0.1357952966306284,0.0225471599230903,892.5870730983673,2931.117293587893,1.6432000000000002
20.95205,1,312,14.53,19.5743,18.19412019230769,18.27695,14.5148,0.7789393912146284,0.2266315398606219,0.1333711242939495,0.0322673444629275,909.917512798174,2955.956115346802,5.059500000000002
34.21416,1,12,18.36,19.1883,18.412791666666667,18.3287,17.8796,0.3966587162750489,0.194398361260612,0.1373550306860083,0.0272619792496756,20.067393052353367,45.91989946790272,1.3087000000000018
6.95689,1,8,18.98,19.7387,19.0058375,19.03685,18.53,0.3992029986199303,0.262419105827184,0.1867521177406648,0.0392519662404688,7.841766550868037,17.947509849494963,1.2087000000000003
-19.89597,0,11,18.68,20.9406,19.59544545454545,19.4131,18.6751,0.8255147925550902,0.4972800091826,0.252634777945923,0.1146377856534537,341.73722351867906,1122.941799397995,2.2654999999999994
44.31418,1,248,18.99,21.0854,19.56801370967742,19.5597,17.5688,0.4596829909839471,0.550483294521959,0.2351874973584323,0.065609896107655,838.9049645544704,3057.7724035882056,3.5166000000000004
35.01583,1,91,15.67,16.5982,15.68733846153846,15.6696,15.6037,0.1096558452302582,0.074939898713751,0.0638918490602338,0.0019876866213263,378.10601761720136,1417.0620655206003,0.9944999999999986
18.1686,1,393,15.83,20.5158,18.56024707379135,18.6391,15.7248,0.6893099888751802,0.480551096075861,0.1510693078753323,0.0498332124105528,865.4206891703087,2994.9350018520054,4.790999999999999
34.53153,1,126,18.58,21.3455,20.07793968253968,20.03825,18.9565,0.4598937039063463,0.597818894804744,0.29268632807564,0.0843124880033316,809.391506092451,2885.0180461806885,2.389000000000003
-8.39869,1,37,13.82,15.4843,13.420797297297298,13.3534,13.2322,0.3538728691104938,0.061666308980267,0.0538469144140712,0.0013606728674953,255.08064729840788,1617.7186299189998,2.2520999999999987
17.13976,1,2,19.12,20.7706,20.6334,20.6334,20.4962,0.1940301007575886,0.5480023007077349,0.447474228939591,0.142168162493725,271.5148036837981,383.9799177546956,0.2744
5.89817,1,76,18.24,21.3484,19.99528947368421,20.0157,18.1587,0.6774043821487918,0.537326768894512,0.2985329176192283,0.0977220467638658,841.8911645916975,2990.9257281594982,3.189700000000002
-19.70678,0,15,13.89,13.9147,13.89974,13.9051,13.8718,0.0128945614227753,0.0538731870448554,0.0536745565061938,9.53235544695734e-05,14.973476542101125,36.98154219940625,0.0428999999999994
43.90399,1,56,13.04,13.0687,12.8961375,12.89185,12.7482,0.0718196821908866,0.0515946317936078,0.051358906563742,0.0001379325057972,184.31211933648964,487.77437614549854,0.3204999999999991
